Player,S/C,Pos,GP,G,A,A1,A2,P,S,PIM,Hits,BkS,TOI,G/GP,A/GP,A1/GP,A2/GP,P/GP,S/GP,PIM/GP,Hits/GP,BkS/GP,TOI/GP
Adam Oates,R,C,"1,337",341,"1,079",664,415,"1,420","2,392",415,79,210,"10,512:35",0.26,0.81,0.5,0.31,1.06,1.79,0.31,--,--,--
Alex Ovechkin,R,L,"1,129",684,569,351,218,"1,253","5,444",711,"2,972",438,"23,635:51",0.61,0.5,0.31,0.19,1.11,4.82,0.63,2.63,0.39,20:56
Alexander Mogilny,L,R,990,473,559,374,185,"1,032","2,966",432,281,68,"8,418:43",0.48,0.56,0.38,0.19,1.04,3,0.44,--,--,--
Artemi Panarin,R,L,365,140,241,151,90,381,949,114,114,72,"7,150:45",0.38,0.66,0.41,0.25,1.04,2.6,0.31,0.31,0.2,19:35
Auston Matthews,L,C,257,142,117,75,42,259,886,44,89,213,"4,742:55",0.55,0.46,0.29,0.16,1.01,3.45,0.17,0.35,0.83,18:27
Bernie Federko,L,C,"1,000",369,761,469,292,"1,130","2,074",487,0,0,--,0.37,0.76,0.47,0.29,1.13,2.07,0.49,--,--,--
Bernie Nicholls,R,C,"1,127",475,734,458,276,"1,209","3,231","1,292",65,25,"1,011:55",0.42,0.65,0.41,0.24,1.07,2.87,1.15,--,--,--
Bill Cowley,L,C,549,195,354,253,99,549,--,143,0,0,--,0.36,0.64,0.46,0.18,1,--,0.26,--,--,--
Bobby Clarke,L,C,"1,144",358,852,541,311,"1,210","2,582","1,453",0,0,--,0.31,0.74,0.47,0.27,1.06,2.26,1.27,--,--,--
Bobby Hull,L,L,"1,063",610,560,366,194,"1,170","4,577",634,0,0,--,0.57,0.53,0.34,0.18,1.1,4.31,0.6,--,--,--
Bobby Orr,L,D,657,270,645,326,319,915,"3,058",953,0,0,--,0.41,0.98,0.5,0.49,1.39,4.65,1.45,--,--,--
Brett Hull,R,R,"1,269",741,650,388,262,"1,391","4,876",458,142,122,"9,648:19",0.58,0.51,0.31,0.21,1.1,3.84,0.36,--,--,--
Bryan Trottier,L,C,"1,279",524,901,542,359,"1,425","2,841",912,0,0,--,0.41,0.7,0.42,0.28,1.11,2.22,0.71,--,--,--
Connor McDavid,L,C,333,152,290,184,106,442,"1,017",110,142,133,"7,149:33",0.46,0.87,0.55,0.32,1.33,3.05,0.33,0.43,0.4,21:28
